week,Zip,crossover,svi_label,condition,n_assigned_automated,n_assigned_manual,mean_perc_filled_assigned_automated,mean_perc_filled_assigned_manual,mean_has_race_ethnicity_assigned_automated,mean_has_race_ethnicity_assigned_manual,mean_has_employer_assigned_automated,mean_has_employer_assigned_manual,mean_has_gender_assigned_automated,mean_has_gender_assigned_manual,mean_has_sexual_orientation_assigned_automated,mean_has_sexual_orientation_assigned_manual,mean_has_language_assigned_automated,mean_has_language_assigned_manual,mean_has_signs_or_symptons_assigned_automated,mean_has_signs_or_symptons_assigned_manual,mean_has_travel_assigned_automated,mean_has_travel_assigned_manual,mean_has_attended_gathering_assigned_automated,mean_has_attended_gathering_assigned_manual,mean_has_able_to_self_isolate_assigned_automated,mean_has_able_to_self_isolate_assigned_manual,mean_has_num_contacts_generated_assigned_automated,mean_has_num_contacts_generated_assigned_manual,mean_has_congregate_setting_assigned_automated,mean_has_congregate_setting_assigned_manual
2021-12-20,94301,2,"[50,80) SVI",Manual CICT,25,16,0.5272727272727272,0.5113636363636364,0.88,0.8125,0.04,0.1875,0.96,1,0.24,0.3125,0.24,0.4375,0.6,0.5,0.72,0.5,0.64,0.5,0.72,0.5,0.68,0.5,0.08,0.375
2021-12-20,94303,4,"[80,100] SVI",Manual CICT,22,15,0.5495867768595042,0.6909090909090909,0.9090909090909091,0.8666666666666667,0.045454545454545456,0.2,1,1,0.3181818181818182,0.6666666666666666,0.4090909090909091,0.7333333333333333,0.6818181818181818,0.7333333333333333,0.6818181818181818,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6818181818181818,0.7333333333333333,0.6363636363636364,0.7333333333333333,0.045454545454545456,0.6
2021-12-20,95020,4,"[80,100] SVI",Manual CICT,101,70,0.3465346534653465,0.6467532467532467,0.7722772277227723,0.9,0.019801980198019802,0.34285714285714286,1,1,0.12871287128712872,0.37142857142857144,0.19801980198019803,0.7,0.3069306930693069,0.6285714285714286,0.3564356435643564,0.5714285714285714,0.297029702970297,0.6714285714285714,0.3564356435643564,0.6714285714285714,0.33663366336633666,0.7142857142857143,0.039603960396039604,0.5428571428571428
2021-12-20,95035,4,"[50,80) SVI",Manual CICT,79,68,0.48331415420023016,0.7393048128342246,0.8354430379746836,0.9117647058823529,0.0759493670886076,0.35294117647058826,1,0.9852941176470589,0.21518987341772153,0.5588235294117647,0.3291139240506329,0.8529411764705882,0.5949367088607594,0.7941176470588235,0.5949367088607594,0.6764705882352942,0.4430379746835443,0.7352941176470589,0.6075949367088608,0.7941176470588235,0.5316455696202531,0.8235294117647058,0.08860759493670886,0.6470588235294118
2021-12-20,95037,2,"[50,80) SVI",Manual CICT,75,49,0.32242424242424245,0.5528756957328386,0.76,0.9183673469387755,0.08,0.16326530612244897,0.96,0.9387755102040817,0.14666666666666667,0.30612244897959184,0.21333333333333335,0.5714285714285714,0.28,0.5306122448979592,0.30666666666666664,0.5510204081632653,0.24,0.5510204081632653,0.30666666666666664,0.5918367346938775,0.25333333333333335,0.5714285714285714,0,0.3877551020408163
2021-12-20,95046,3,"[50,80) SVI",Manual CICT,11,11,0.2727272727272727,0.5950413223140496,0.5454545454545454,0.6363636363636364,0,0.2727272727272727,1,1,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.6363636363636364,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.09090909090909091,0.5454545454545454
2021-12-20,95050,4,"[50,80) SVI",Manual CICT,48,25,0.4318181818181818,0.6872727272727273,0.7708333333333334,0.88,0.08333333333333333,0.24,0.9791666666666666,1,0.22916666666666666,0.36,0.3125,0.76,0.3541666666666667,0.8,0.5,0.6,0.4791666666666667,0.72,0.5,0.8,0.5,0.72,0.041666666666666664,0.68
2021-12-20,95110,5,"[80,100] SVI",Manual CICT,35,35,0.34805194805194806,0.7012987012987013,0.6857142857142857,0.8571428571428571,0.08571428571428572,0.2571428571428571,0.9714285714285714,1,0.22857142857142856,0.4,0.34285714285714286,0.7714285714285715,0.3142857142857143,0.7714285714285715,0.3142857142857143,0.6285714285714286,0.2571428571428571,0.7428571428571429,0.3142857142857143,0.8,0.2857142857142857,0.8,0.02857142857142857,0.6857142857142857
2021-12-20,95111,5,"[80,100] SVI",Manual CICT,94,54,0.4323017408123791,0.7154882154882155,0.8085106382978723,0.9444444444444444,0.0851063829787234,0.37037037037037035,0.9680851063829787,0.9814814814814815,0.20212765957446807,0.4074074074074074,0.2765957446808511,0.7407407407407407,0.5,0.7222222222222222,0.5319148936170213,0.7222222222222222,0.3723404255319149,0.7037037037037037,0.5319148936170213,0.8333333333333334,0.425531914893617,0.7962962962962963,0.05319148936170213,0.6481481481481481
2021-12-20,95112,4,"[80,100] SVI",Manual CICT,113,68,0.43684633950120677,0.6724598930481284,0.8053097345132744,0.8823529411764706,0.08849557522123894,0.19117647058823528,0.9734513274336283,0.9705882352941176,0.22123893805309736,0.47058823529411764,0.2743362831858407,0.7647058823529411,0.4778761061946903,0.6911764705882353,0.5221238938053098,0.7058823529411765,0.3893805309734513,0.6911764705882353,0.5575221238938053,0.7352941176470589,0.4247787610619469,0.7352941176470589,0.07079646017699115,0.5588235294117647
